Booking_ID,booking_status
INN00001,Not_Canceled
INN00002,Not_Canceled
INN00003,Canceled
INN00004,Canceled
INN00005,Canceled
INN00006,Canceled
INN00007,Not_Canceled
INN00008,Not_Canceled
INN00009,Not_Canceled
INN00010,Not_Canceled
INN00011,Not_Canceled
INN00012,Not_Canceled
INN00013,Canceled
INN00014,Canceled
INN00015,Not_Canceled
INN00016,Canceled
INN00017,Not_Canceled
INN00018,Not_Canceled
INN00019,Canceled
INN00020,Not_Canceled
INN00021,Canceled
INN00022,Not_Canceled
INN00023,Not_Canceled
INN00024,Not_Canceled
INN00025,Not_Canceled
INN00026,Not_Canceled
INN00027,Not_Canceled
INN00028,Canceled
INN00029,Canceled
INN00030,Not_Canceled
INN00031,Not_Canceled
INN00032,Not_Canceled
INN00033,Not_Canceled
INN00034,Not_Canceled
INN00035,Not_Canceled
INN00036,Not_Canceled
INN00037,Canceled
INN00038,Not_Canceled
INN00039,Canceled
INN00040,Canceled
INN00041,Not_Canceled
INN00042,Not_Canceled
INN00043,Not_Canceled
INN00044,Canceled
INN00045,Not_Canceled
INN00046,Not_Canceled
INN00047,Not_Canceled
INN00048,Not_Canceled
INN00049,Not_Canceled
INN00050,Not_Canceled
INN00051,Not_Canceled
INN00052,Canceled
INN00053,Not_Canceled
INN00054,Not_Canceled
INN00055,Not_Canceled
INN00056,Not_Canceled
INN00057,Not_Canceled
INN00058,Not_Canceled
INN00059,Canceled
INN00060,Not_Canceled
INN00061,Not_Canceled
INN00062,Not_Canceled
INN00063,Not_Canceled
INN00064,Not_Canceled
INN00065,Not_Canceled
INN00066,Not_Canceled
INN00067,Not_Canceled
INN00068,Canceled
INN00069,Not_Canceled
INN00070,Not_Canceled
INN00071,Not_Canceled
INN00072,Not_Canceled
INN00073,Not_Canceled
INN00074,Canceled
INN00075,Not_Canceled
INN00076,Not_Canceled
INN00077,Not_Canceled
INN00078,Not_Canceled
INN00079,Canceled
INN00080,Not_Canceled
INN00081,Canceled
INN00082,Canceled
INN00083,Not_Canceled
INN00084,Not_Canceled
INN00085,Not_Canceled
INN00086,Not_Canceled
INN00087,Not_Canceled
INN00088,Canceled
INN00089,Not_Canceled
INN00090,Not_Canceled
INN00091,Not_Canceled
INN00092,Not_Canceled
INN00093,Not_Canceled
INN00094,Not_Canceled
INN00095,Canceled
INN00096,Not_Canceled
INN00097,Canceled
INN00098,Not_Canceled
INN00099,Not_Canceled
INN00100,Not_Canceled
INN00101,Not_Canceled
INN00102,Not_Canceled
INN00103,Not_Canceled
INN00104,Not_Canceled
INN00105,Not_Canceled
INN00106,Not_Canceled
INN00107,Not_Canceled
INN00108,Not_Canceled
INN00109,Not_Canceled
INN00110,Not_Canceled
INN00111,Canceled
INN00112,Not_Canceled
INN00113,Not_Canceled
INN00114,Not_Canceled
INN00115,Canceled
INN00116,Not_Canceled
INN00117,Canceled
INN00118,Not_Canceled
INN00119,Canceled
INN00120,Not_Canceled
INN00121,Canceled
INN00122,Not_Canceled
INN00123,Canceled
INN00124,Not_Canceled
INN00125,Not_Canceled
INN00126,Not_Canceled
INN00127,Canceled
INN00128,Canceled
INN00129,Not_Canceled
INN00130,Not_Canceled
INN00131,Not_Canceled
INN00132,Not_Canceled
INN00133,Canceled
INN00134,Not_Canceled
INN00135,Not_Canceled
INN00136,Not_Canceled
INN00137,Canceled
INN00138,Not_Canceled
INN00139,Not_Canceled
INN00140,Canceled
INN00141,Not_Canceled
INN00142,Canceled
INN00143,Canceled
INN00144,Not_Canceled
INN00145,Not_Canceled
INN00146,Not_Canceled
INN00147,Not_Canceled
INN00148,Not_Canceled
INN00149,Not_Canceled
INN00150,Canceled
INN00151,Not_Canceled
INN00152,Canceled
INN00153,Not_Canceled
INN00154,Canceled
INN00155,Not_Canceled
INN00156,Not_Canceled
INN00157,Not_Canceled
INN00158,Not_Canceled
INN00159,Canceled
INN00160,Not_Canceled
INN00161,Not_Canceled
INN00162,Not_Canceled
INN00163,Not_Canceled
INN00164,Not_Canceled
INN00165,Not_Canceled
